DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AL,2009,1840.737,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AL,2010,1897.918,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AL,2011,1953.468,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AL,2012,1790.623,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AL,2013,1961.871,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AL,2014,2058.574,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AL,2015,1962.498,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AL,2016,1899.558,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AL,2017,2078.928,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AL,2018,2134.212,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AL,2019,2053.036,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AL,2020,1846.436,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AT,2009,24684.381,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AT,2010,25961.403,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AT,2011,25096.146,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AT,2012,25203.967,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AT,2013,25800.573,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AT,2014,24762.326,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AT,2015,25476.389,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AT,2016,26099.940,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AT,2017,26503.187,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AT,2018,26038.720,
ESTAT:TEN00124(1.0),04/03/22 11:05:00,A,FC_E,TOTAL,KTOE,AT,2019,26227.621,
